productId,siteName,date,gmttime,gmtdatetime,region_id,city,localdatetime,country,timezone,price_male,price_female,days_before_event,currency,duration_in_minutes,soldOut,productType,zoom_account,zoomInvite,,,,
356,tempo,2026-02-28,18:00:00Z,2026-02-28T18:00:00Z,NC_1,Charlotte,2026-02-28 13:00:00,USA,America/New_York,1600,1200,30,USD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/81547024168?pwd=Uj1Ex6IwZCjURdQ78tfVCX3gEbyRth.1,,,,
357,tempo,2026-02-28,19:00:00Z,2026-02-28T19:00:00Z,MA_2,Boston,2026-02-28 14:00:00,USA,America/New_York,1600,1200,30,USD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/84967323859?pwd=X3uBEB4kh47NlsaX60I2ytaMFLtMyh.1,,,,
358,tempo,2026-02-28,20:00:00Z,2026-02-28T20:00:00Z,DC_PA_MD_3,Philadelphia,2026-02-28 15:00:00,USA,America/New_York,1600,1200,30,USD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/89440852349?pwd=5XCc5BSw7uWm5e3VGw8VoaJK2RZlZz.1,,,,
359,tempo,2026-03-01,08:00:00Z,2026-03-01T08:00:00Z,NSW_4,Sydney,2026-03-01 19:00:00,Australia,Australia/Sydney,2200,1600,30,AUD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/87355727704?pwd=2cwCu8pCb7rNvkFvZZYFKrbUK3pmrG.1,,,,
360,tempo,2026-03-01,09:00:00Z,2026-03-01T09:00:00Z,VIC_5,Melbourne,2026-03-01 20:00:00,Australia,Australia/Sydney,2200,1600,30,AUD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/81134861246?pwd=bMxdEHcHt9P9vJHOgswxsAd2kqV937.1,,,,
361,tempo,2026-03-01,18:00:00Z,2026-03-01T18:00:00Z,LDN_EAST_6,London,2026-03-01 18:00:00,United Kingdom,Europe/London,1400,1000,30,GBP,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/89821553765?pwd=yZHB1chIo3BsRoVLKCtyr1zlTz3EWU.1,,,,
362,tempo,2026-03-01,19:00:00Z,2026-03-01T19:00:00Z,E_W_MIDS_7,Birmingham,2026-03-01 19:00:00,United Kingdom,Europe/London,1400,1000,30,GBP,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/81339873354?pwd=kVAq8F4wPRNLaKhWpGIVnOaES6MTEu.1,,,,
363,lichess,2026-03-01,20:00:00Z,2026-03-01T20:00:00Z,SE_SW_ENG_8,Bristol,2026-03-01 20:00:00,United Kingdom,Europe/London,1400,1000,30,GBP,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/82582218431?pwd=aVoXCztj5OcaZwG8lXuk1Ge2uaZbRb.1,,,,
364,tempo,2026-03-01,21:00:00Z,2026-03-01T21:00:00Z,NW_ENG_YORKS_9,Leeds,2026-03-01 21:00:00,United Kingdom,Europe/London,1400,1000,30,GBP,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/81005800182?pwd=4sOBiar0oj2ov4QHRexcUSaRaVGGLP.1,,,,
365,tempo,2026-03-07,18:00:00Z,2026-03-07T18:00:00Z,IL_WI_10,Chicago,2026-03-07 12:00:00,USA,America/Chicago,1600,1200,30,USD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/87075983158?pwd=UuvSv7HeRUQYxHVOtXWp5mJFTYH3sF.1,,,,
366,tempo,2026-03-07,19:00:00Z,2026-03-07T19:00:00Z,AB_11,Calgary,2026-03-07 12:00:00,Canada,America/Denver,2200,1600,30,CAD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/81329445539?pwd=rCz3L7KYgSeNkWlcM6a3B2lQm4dfPd.1,,,,
367,tempo,2026-03-07,20:00:00Z,2026-03-07T20:00:00Z,CA_12,Los Angeles,2026-03-07 12:00:00,USA,America/Los_Angeles,1600,1200,30,USD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/83806660507?pwd=oCTXCanG22F2naVbDXc4QND4s6jxhS.1,,,,
368,tempo,2026-03-07,21:00:00Z,2026-03-07T21:00:00Z,FL_13,Jacksonville,2026-03-07 16:00:00,USA,America/New_York,1600,1200,30,USD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/87619097067?pwd=FrL745rYIkDN4YlDmFfcLPLZFhDk8r.1,,,,
369,tempo,2026-03-08,16:00:00Z,2026-03-08T16:00:00Z,IN_MI_OH_14,Columbus,2026-03-08 12:00:00,USA,America/New_York,1600,1200,30,USD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/83803705029?pwd=eHQ4724TVubyzNws7nDHqgDog2z7wk.1,,,,
370,tempo,2026-03-08,17:00:00Z,2026-03-08T17:00:00Z,ON_15,Ottawa,2026-03-08 13:00:00,Canada,America/New_York,2200,1600,30,CAD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/89215337458?pwd=H1YaPWanVpzXMZzPFAnRx7R9ayfaS0.1,,,,
371,tempo,2026-03-08,18:00:00Z,2026-03-08T18:00:00Z,QC_16,Montreal,2026-03-08 14:00:00,Canada,America/New_York,2200,1600,30,CAD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/86766954293?pwd=mkxsdZaJP3epfmnyqzMFQe5S8UoIKB.1,,,,
372,tempo,2026-03-08,19:00:00Z,2026-03-08T19:00:00Z,TX_17,Houston,2026-03-08 14:00:00,USA,America/Chicago,1600,1200,30,USD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/85212591965?pwd=4RLGvpwaRfFYPVmeNtvcNjRkZabbrx.1,,,,
373,tempo,2026-03-08,20:00:00Z,2026-03-08T20:00:00Z,AZ_18,Phoenix,2026-03-08 13:00:00,USA,America/Phoenix,1600,1200,30,USD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/84659100698?pwd=DjZmIyV6x3mewdyjy4PNujCfVesu5A.1,,,,
374,tempo,2026-03-08,21:00:00Z,2026-03-08T21:00:00Z,BC_19,Vancouver,2026-03-08 14:00:00,Canada,America/Los_Angeles,2200,1600,30,CAD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/86157315607?pwd=Dk0RFrqNm4rzQtKxxLLoLHNmJQBJD7.1,,,,
375,tempo,2026-03-08,22:00:00Z,2026-03-08T23:00:00Z,WA_OR_20,Seattle,2026-03-08 16:00:00,USA,America/Los_Angeles,1600,1200,30,USD,60,FALSE,onlineSpeedDating,,https://us02web.zoom.us/j/84590163175?pwd=ZrZqnTQ1RzSaTrkYd9UwK1zf8eSk2t.1,,,,
